ticker,overall_score,recommendation,momentum_score,trend_score,beta_score,volatility_score,liquidity_score,retail_score,regime_score,hurst,beta,adx,volatility,is_trending,is_high_beta,has_retail_interest,in_bull_regime
CVX,61.321037368976256,GOOD,85.71428571428571,52.86575922669186,38.10488017894565,37.148797909945436,100,59.947887592884165,88.33887798422751,1.0220385402573835,0.6891138708420651,,0.22289278745967261,False,False,False,True
XOM,61.13344698122042,GOOD,85.71428571428571,57.527387678158796,31.549585739941136,36.57782311818541,100,60.98344780052751,91.80353813925467,1.000289971316697,0.5361570005986265,,0.21946693870911244,False,False,True,True
MARA,60.655079222584654,GOOD,14.285714285714285,52.954188013575354,82.99113028473437,88.76164637599254,100,65.34029869938448,15.211917588850403,1.0080218005071153,2.2346008628130463,,0.7377717487731591,False,True,True,False
SHOP,60.53335678491725,GOOD,28.57142857142857,40.298829754982954,84.70190179164453,77.2470502288261,100,46.36221893575215,71.91290666813815,0.9995257962845827,2.3115855806240035,,0.46909783867260907,False,True,False,True
OXY,60.38387825953508,GOOD,71.42857142857143,48.04127366089293,51.22785322330475,47.084918601288216,100,64.35901974423311,54.913976647294334,0.9906220928092409,0.995316575210444,,0.2825095116077293,False,False,True,False
LMT,59.65829280910588,MODERATE,85.71428571428571,57.899893562956265,14.336378640564945,47.17651514077588,100,62.916666666666664,94.00074575522889,1.0087458162569292,0.23893964400941575,,0.28305909084465525,False,False,True,True
AVGO,59.570174893753986,MODERATE,28.57142857142857,44.446393479695736,74.23492540835974,77.96740104095068,100,47.68406772660403,73.12216946108335,1.017518948386419,1.8405716433761885,,0.48590602428884905,False,True,False,True
HOOD,59.1132854670605,MODERATE,0.0,51.60994766910345,92.53184708491597,85.12283063280303,100,45.09582093542922,60.138396555864766,1.0081448495787864,2.6639331188212187,,0.6528660480987373,False,True,False,False
CRSP,59.017938534652416,MODERATE,42.857142857142854,40.27684727418342,62.86158686409024,81.01084867581146,90,55.15040407176451,63.043108540418814,1.0208261656918205,1.328771408884061,,0.5569198024356006,False,True,False,True
TSLA,57.51566569224876,MODERATE,14.285714285714285,40.92331843699472,84.88625920681122,75.44905228413684,100,43.333242113466056,76.91850504755159,1.0189920538446806,2.319881664306505,,0.42714455329652634,False,True,False,True
SNOW,57.11094137495589,MODERATE,14.285714285714285,59.94725321221893,65.53833194925004,75.74837976810029,100,46.97637372449158,61.93574295710081,1.0253033641027949,1.4492249377162514,,0.43412886125567357,False,True,False,False
EDIT,56.76978110735724,MODERATE,14.285714285714285,57.93335432872263,84.05861873695156,87.18510972850652,50,63.823528953443706,21.08248564918384,1.0294336552368382,2.2826378431628203,,0.7009858936651518,False,True,True,False
NOC,56.74407602592621,MODERATE,85.71428571428571,56.17894696275979,4.95271519083496,45.73050185454958,100,59.260465802434844,91.78529187848397,0.9900465601212664,0.08254525318058266,,0.27438301112729746,False,False,False,True
GME,56.63953970204905,MODERATE,57.14285714285714,41.151870579533764,39.48765674777774,71.79454410034646,100,65.63414503888387,35.009333781499194,1.0035648924122045,0.7213786574481473,,0.3418726956747505,False,False,True,False
COIN,55.530198859398865,MODERATE,0.0,57.97115701735746,82.2133617973622,81.18026233445352,100,45.0841941767385,16.156726572261178,1.019778813507146,2.1996012808812986,,0.5608727878039153,False,True,False,False
AAPL,53.72880530091807,MODERATE,42.857142857142854,50.32206776814985,62.81450838911321,26.74092952709275,100,45.20684014683633,79.96476108578689,1.0026851574425366,1.3266528775100943,,0.1604455771625565,False,True,False,True
PLTR,53.66010048660516,MODERATE,0.0,41.406550430931986,80.13615473060824,78.53914877315509,100,43.65405985556295,64.10562305535102,1.011332973319126,2.106126962877371,,0.49924680470695226,False,True,False,False
QCOM,53.550808511309924,MODERATE,14.285714285714285,43.584420474167864,67.44390654530154,70.03158964510051,100,45.079544074572205,69.50614792101777,1.0132813618560264,1.5349757945385696,,0.30073709171901203,False,True,False,False
JPM,52.05981493875937,MODERATE,42.857142857142854,40.9889205610246,52.10018641973477,41.17734241706793,100,47.16885225717182,79.54156765803087,1.0072063479014397,1.0156710164604779,,0.24706405450240757,False,False,False,True
MCD,51.864101075312746,MODERATE,85.71428571428571,45.27170688122203,10.948714523553289,28.6208951862856,100,49.96416923935508,83.75216899244396,1.0056418893459813,0.1824785753925548,,0.17172537111771358,False,False,False,True
BAC,51.80579126790947,MODERATE,42.857142857142854,41.79867508104648,52.533100530224345,32.4402932577229,100,54.260132962352635,81.5190057866608,1.000048261177413,1.0257723457052346,,0.19464175954633742,False,False,False,True
NKE,50.974066935279964,MODERATE,14.285714285714285,41.38983215367098,54.73996871786936,73.36565374490598,100,56.98548227846883,43.75135228492507,1.0169665569341857,1.077265936750285,,0.37853192071447284,False,False,False,False
SPCE,50.92108020304298,MODERATE,0.0,49.01183427103735,66.85469348755423,90.03670934039178,70,57.727274380220656,29.390816244876657,1.0113760043157038,1.5084612069399403,,0.7675232179424747,False,True,False,False
DIS,50.58722201733998,MODERATE,28.57142857142857,46.418548879886266,56.3565890758393,43.70850667599102,100,50.68512832467807,53.862397560853815,1.0229159913728325,1.1149870784362503,,0.2622510400559461,False,False,False,False
AMC,50.227276831390974,MODERATE,0.0,61.81221497504965,51.28532727995853,82.17911911406888,90,57.54658362098436,10.524843023611446,0.9852622068737086,0.9966576365323656,,0.5841794459949405,False,False,False,False
