ticker,name,overall_score,recommendation,momentum_score,trend_score,beta_score,volatility_score,liquidity_score,retail_score,regime_score,hurst,beta,adx,volatility,is_trending,is_high_beta,has_retail_interest,in_bull_regime
2040.SR,Saudi Ceramic Co.,51.870579637066996,MODERATE,57.14285714285714,51.79916451803042,51.42857142857143,43.5924812375153,50.0,60.362316762366966,44.427143146224104,0.9958618357996061,1.0,,0.2615548874250918,False,False,True,False
2250.SR,Saudi Industrial Investment Gr,51.794051456255886,MODERATE,42.857142857142854,60.47866680080453,51.42857142857143,38.53675669577302,70.0,65.16038476742774,30.892465156867942,1.0151531983352058,1.0,,0.2312205401746381,False,False,True,False
4031.SR,Saudi Ground Services Co.,51.752763103251816,MODERATE,42.857142857142854,58.48967689019235,51.42857142857143,43.30214553012983,70.0,60.21312396683107,33.621012837358045,0.988633480945573,1.0,,0.25981287318077895,False,False,True,False
2100.SR,Wafrah for Industry and Develo,51.702701957448696,MODERATE,42.857142857142854,46.946189538770426,51.42857142857143,71.73270062704421,50.0,63.6009869446897,26.72634808052294,1.0109984533038407,1.0,,0.34042968129769824,False,False,True,False
2060.SR,National Industrialization Co.,51.19455098889125,MODERATE,42.857142857142854,58.68967544275296,51.42857142857143,46.63501081505782,50.0,64.26229553760308,43.559837343576454,1.021530613879517,1.0,,0.2798100648903469,False,False,True,False
4240.SR,AFG International Co.,49.83576323919194,MODERATE,14.285714285714285,59.443223688637616,51.42857142857143,73.49959091091479,70.0,58.06027308950147,19.465908260398063,1.0198508481945074,1.0,,0.38165712125467827,False,False,False,False
4007.SR,Al Hammadi Holding,49.49315178929727,MODERATE,28.57142857142857,60.222714253518504,51.42857142857143,46.21822543620166,70.0,59.56861091547121,31.180280632323942,1.0389728837450398,1.0,,0.27730935261720996,False,False,False,False
4061.SR,Anaam International Holding Gr,49.44957803955117,MODERATE,42.857142857142854,52.71612688286522,51.42857142857143,49.08746590595533,50.0,66.43166030732566,20.858477784188096,0.9913087523020813,1.0,,0.29452479543573196,False,False,True,False
2030.SR,Saudi Arabia Refineries Co.,48.95404020691154,MODERATE,42.857142857142854,55.84493514911385,51.42857142857143,40.88361966834145,50.0,58.6590470368316,38.58925332023063,0.9990950955302124,1.0,,0.2453017180100487,False,False,False,False
4001.SR,Abdullah Al Othaim Markets Co.,48.535295476446954,MODERATE,42.857142857142854,48.3631385061998,51.42857142857143,30.212879926275505,70.0,67.47967271655416,34.51251314934792,1.0271502163994122,1.0,,0.18127727955765302,False,False,True,False
2310.SR,Sahara International Petrochem,48.2590355560134,MODERATE,28.57142857142857,59.93183239109035,51.42857142857143,34.16170405711327,70.0,63.728069803941494,35.512129776683764,0.9784537386909727,1.0,,0.2049702243426796,False,False,True,False
6010.SR,National Agricultural Developm,47.50448843268243,MODERATE,42.857142857142854,40.32070670666304,51.42857142857143,32.8230414199433,70.0,66.96965964603491,39.255641132239596,0.9797886993628829,1.0,,0.1969382485196598,False,False,True,False
1301.SR,United Wire Factories Co.,46.84266154749546,MODERATE,28.57142857142857,57.07056483678991,51.42857142857143,46.52889451949901,44.46588964618683,62.02605854266219,36.00039166655443,1.006795692305184,1.0,,0.27917336711699403,False,False,True,False
6002.SR,Herfy Food Services Co.,46.83279155862851,MODERATE,14.285714285714285,48.52764143107261,51.42857142857143,73.48587477953156,50.0,66.71127835954573,25.80794153345064,1.0154404870085267,1.0,,0.3813370781890695,False,False,True,False
2280.SR,Almarai Co.,46.6806221345329,MODERATE,28.57142857142857,50.9144540419819,51.42857142857143,36.84432178174296,70.0,58.94093216736206,41.53979684277761,1.0069485308731316,1.0,,0.22106593069045777,False,False,False,False
4004.SR,Dallah Healthcare Co.,46.628077052173666,MODERATE,14.285714285714285,53.06027751487959,51.42857142857143,70.19403651949433,50.0,51.18743464690141,44.50630927452622,1.0303983736420137,1.0,,0.3045275187882011,False,False,False,False
4230.SR,Red Sea International Co.,46.51433337379296,MODERATE,0.0,63.779835309585785,51.42857142857143,70.49758107432342,70.0,51.044116861679974,15.872063576900056,1.0105490727709112,1.0,,0.31161022506754654,False,False,False,False
3080.SR,Eastern Province Cement Co.,45.23381705695905,MODERATE,42.857142857142854,44.15321943117991,51.42857142857143,30.663854339903207,50.0,61.342280590503606,36.24448207088745,1.0007444114780386,1.0,,0.18398312603941924,False,False,True,False
4070.SR,"Tihama Advertising\, Public Re",45.12420040680758,MODERATE,0.0,56.69121021258091,51.42857142857143,76.31457190110515,50.0,62.210274038029894,16.640617792166967,0.9604361464688932,1.0,,0.44734001102578697,False,False,True,False
3030.SR,Saudi Cement Co.,45.052563484023196,MODERATE,42.857142857142854,49.34689754635234,51.42857142857143,19.312589801822348,50.0,61.27771207899153,46.02762878874723,1.00349184408995,1.0,,0.11587553881093407,False,False,True,False
2270.SR,Saudia Dairy and Foodstuff Co.,44.782065553551355,POOR,42.857142857142854,46.923514708645314,51.42857142857143,31.260492984458203,50.0,47.320367381515375,42.38218137718338,1.0182119388174344,1.0,,0.18756295790674923,False,False,False,False
6001.SR,Halwani Bros. Co.,43.80068492086664,POOR,28.57142857142857,44.97136812167462,51.42857142857143,41.274999203377824,50.0,62.566480889888425,27.17026654072403,1.0244782551221594,1.0,,0.24764999522026693,False,False,True,False
6020.SR,Al Gassim Investment Holding C,42.920092569088155,POOR,14.285714285714285,50.40028214365036,51.42857142857143,43.93193364687585,48.16258967363119,61.70454661051433,42.4135064411002,1.0039215353455806,1.0,,0.2635916018812551,False,False,True,False
2330.SR,Advanced Petrochemical Co.,42.501373525662466,POOR,0.0,62.251876510797715,51.42857142857143,37.48486607002596,70.0,55.224270035618474,32.40254047445794,1.0005201807979167,1.0,,0.22490919642015575,False,False,False,False
2290.SR,Yanbu National Petrochemical C,42.170047408786616,POOR,0.0,62.318692760694496,51.42857142857143,30.375931038841852,70.0,58.63095238095239,40.022193540238206,1.000161511691772,1.0,,0.1822555862330511,False,False,False,False
3090.SR,Tabuk Cement Co.,38.52735767276786,POOR,0.0,61.09310152707069,51.42857142857143,21.153498198018212,50.0,62.350798900067836,32.29836923859832,0.9929534913947402,1.0,,0.12692098918810926,False,False,True,False
3091.SR,Al Jouf Cement Co.,38.105920776719685,POOR,0.0,61.57786410374893,51.42857142857143,23.247394326630435,47.13872098406077,62.15036731001073,21.772313837077963,1.0114958387106996,1.0,,0.13948436595978259,False,False,True,False
