ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason,regime
3050.SR,2022-05-23 00:00:00+03:00,2022-11-21 00:00:00+03:00,54.139148998260495,49.0580858001709,233,-1183.8877251548756,-0.09385192216916538,181,time_exit,BEAR
2350.SR,2022-11-13 00:00:00+03:00,2022-11-27 00:00:00+03:00,11.331319694519042,11.048940419197082,1855,-523.813555722235,-0.02492024609088972,11,trailing_stop,BEAR
4001.SR,2022-10-30 00:00:00+03:00,2022-11-30 00:00:00+03:00,9.650530056953428,9.878994707107545,2173,496.4536847848943,0.023673792921820036,30,trailing_stop,BEAR
1080.SR,2022-10-27 00:00:00+03:00,2022-12-06 00:00:00+03:00,19.90095216178894,19.614850759506226,1054,-301.55087800598073,-0.014376267022642608,39,trailing_stop,BEAR
2270.SR,2022-11-14 00:00:00+03:00,2022-12-07 00:00:00+03:00,187.45904606628415,187.2603366394043,118,-23.447712371821638,-0.0010600151395712132,22,trailing_stop,BEAR
4009.SR,2022-06-13 00:00:00+03:00,2022-12-12 00:00:00+03:00,33.938567749023434,25.848736289978028,435,-3519.076684684752,-0.23836690808138739,181,time_exit,BEAR
3050.SR,2022-11-30 00:00:00+03:00,2023-02-01 00:00:00+03:00,46.48675556182861,46.21013703918457,466,-128.90423155212062,-0.005950480288436699,62,trailing_stop,BEAR
3060.SR,2022-12-12 00:00:00+03:00,2023-02-07 00:00:00+03:00,27.625633848190304,31.44221443748474,771,2942.5836343460096,0.13815359351635115,56,trailing_stop,BEAR
6020.SR,2022-09-26 00:00:00+03:00,2023-02-19 00:00:00+03:00,23.88386061096191,24.775199237823486,797,710.3968856086755,0.037319704773878914,143,trailing_stop,BEAR
2330.SR,2022-11-27 00:00:00+03:00,2023-02-26 00:00:00+03:00,40.30235850143432,43.433280292510986,538,1684.4359235992465,0.07768582056966311,88,trailing_stop,BEAR
1180.SR,2022-12-07 00:00:00+03:00,2023-02-27 00:00:00+03:00,30.066892553329463,30.59010871696472,720,376.7156378173857,0.01740173723331173,81,trailing_stop,BEAR
1212.SR,2022-10-05 00:00:00+03:00,2023-03-16 00:00:00+03:00,52.256973903656,54.946448135375974,385,1035.4475792121912,0.05146632173302734,161,trailing_stop,BEAR
1050.SR,2022-09-18 00:00:00+03:00,2023-03-20 00:00:00+03:00,18.656340644836423,14.49510532951355,841,-3499.5989001865364,-0.22304670538241866,182,time_exit,BEAR
4300.SR,2022-10-18 00:00:00+03:00,2023-04-17 00:00:00+03:00,16.63662084007263,15.864120114326477,1189,-918.5033629121768,-0.04643375197236155,180,time_exit,BEAR
1060.SR,2022-10-24 00:00:00+03:00,2023-04-26 00:00:00+03:00,36.09057799148559,30.47060325050354,567,-3186.525678136821,-0.15571861282764443,183,time_exit,BEAR
2310.SR,2022-11-03 00:00:00+03:00,2023-05-04 00:00:00+03:00,32.15554413604736,31.99476001739502,651,-104.67046124267391,-0.005000198969486447,181,trailing_stop,BEAR
1140.SR,2022-11-08 00:00:00+03:00,2023-05-08 00:00:00+03:00,33.07322038650512,25.808992595672606,637,-4627.313102760311,-0.2196407760097211,180,time_exit,BEAR
7010.SR,2022-12-06 00:00:00+03:00,2023-05-14 00:00:00+03:00,30.000727287292477,37.11016485214233,721,5125.9044842567455,0.23697550718582838,156,take_profit,BEAR
1010.SR,2022-11-14 00:00:00+03:00,2023-05-15 00:00:00+03:00,31.915764495849604,28.85099340248108,744,-2280.189693466182,-0.09602687392204168,181,time_exit,BEAR
1150.SR,2022-11-14 00:00:00+03:00,2023-05-15 00:00:00+03:00,27.15848664093017,22.67086227607727,844,-3787.554963935849,-0.16523838106979305,181,time_exit,BEAR
1080.SR,2023-02-26 00:00:00+03:00,2023-05-17 00:00:00+03:00,14.884060360908506,17.230728326797486,1248,2928.6416214294463,0.1576631583712378,79,trailing_stop,BEAR
