date,cash,positions,total,n_positions,regime,returns
2023-11-15 00:00:00+03:00,415438.3289392625,496569.42614364624,912007.7550829088,15,BULL,0.009507111799008428
2023-11-16 00:00:00+03:00,415438.3289392625,499359.4159927368,914797.7449319994,15,BULL,0.0030591733826177414
2023-11-19 00:00:00+03:00,415438.3289392625,501676.66701221466,917114.9959514772,15,BULL,0.0025330746958172057
2023-11-20 00:00:00+03:00,415438.3289392625,502257.16729831696,917695.4962375795,15,BULL,0.0006329634655031224
2023-11-21 00:00:00+03:00,415438.3289392625,503013.90231227875,918452.2312515413,15,BULL,0.0008246036044246008
2023-11-22 00:00:00+03:00,415438.3289392625,500926.9075803757,916365.2365196382,15,BULL,-0.0022722953474229035
2023-11-23 00:00:00+03:00,415438.3289392625,500926.9075803757,916365.2365196382,15,BULL,0.0
2023-11-26 00:00:00+03:00,415438.3289392625,510095.5432214737,925533.8721607362,15,BULL,0.010005438089206287
2023-11-27 00:00:00+03:00,415438.3289392625,507655.6310558319,923093.9599950945,15,BULL,-0.002636221362645075
2023-11-28 00:00:00+03:00,415438.3289392625,506234.56658935547,921672.895528618,15,BULL,-0.0015394580920927714
2023-11-29 00:00:00+03:00,415438.3289392625,506882.13685035706,922320.4657896196,15,BULL,0.0007026031297472368
2023-11-30 00:00:00+03:00,415438.3289392625,509346.42303180695,924784.7519710695,15,BULL,0.0026718329180088762
2023-12-03 00:00:00+03:00,401129.9451722528,526119.2946939468,927249.2398661997,15,BULL,0.0026649313690318976
2023-12-04 00:00:00+03:00,401129.9451722528,524339.8565692902,925469.801741543,15,BULL,-0.001919050507837028
2023-12-05 00:00:00+03:00,401129.9451722528,524260.5718135834,925390.5169858362,15,BULL,-8.566973828594282e-05
2023-12-06 00:00:00+03:00,414532.75676589494,513188.9904308319,927721.7471967269,15,BULL,0.0025191853256545382
2023-12-07 00:00:00+03:00,414532.75676589494,516592.8180408478,931125.5748067427,15,BULL,0.0036690178065794665
2023-12-10 00:00:00+03:00,404764.43617473834,527784.4932584763,932548.9294332146,15,BULL,0.0015286387410928803
2023-12-11 00:00:00+03:00,404764.43617473834,531641.8412313461,936406.2774060845,15,BULL,0.004136349151367735
2023-12-12 00:00:00+03:00,404764.43617473834,535476.8568305969,940241.2930053353,15,BULL,0.004095461224239205
2023-12-13 00:00:00+03:00,404764.43617473834,536796.1693296432,941560.6055043816,15,BULL,0.0014031637504765548
2023-12-14 00:00:00+03:00,404764.43617473834,544492.7246665955,949257.1608413338,15,BULL,0.00817425377820391
