ticker,name,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
1180.SR,Al Rajhi Bank,2024-05-07 00:00:00+03:00,2024-05-26 00:00:00+03:00,33.331210510253904,31.01016942523647,1165,-2740.1397114257115,-0.06963566727657244,16,stop_loss
1050.SR,Banque Saudi Fransi,2024-04-18 00:00:00+03:00,2024-05-27 00:00:00+03:00,15.799491079096457,14.743791140556336,2502,-2678.250211661055,-0.06681860404585227,38,stop_loss
4190.SR,Jarir Marketing,2024-04-24 00:00:00+03:00,2024-05-27 00:00:00+03:00,12.448608404843002,11.857211991117664,3147,-1898.4391601296861,-0.04750703006251378,32,stop_loss
1010.SR,Riyad Bank,2024-05-21 00:00:00+03:00,2024-05-28 00:00:00+03:00,23.49315618080828,22.351451537045584,1502,-1748.4122551402136,-0.04859732915304771,6,stop_loss
2050.SR,Savola,2024-05-15 00:00:00+03:00,2024-05-29 00:00:00+03:00,28.70188526344299,27.14023105430603,1285,-2041.6008556457734,-0.0544094645631521,13,stop_loss
4300.SR,Dar Al Arkan,2024-05-08 00:00:00+03:00,2024-05-30 00:00:00+03:00,12.952939579963683,12.287700190544129,2849,-1930.2746782991699,-0.05135817899193962,21,stop_loss
2222.SR,Saudi Aramco,2024-04-17 00:00:00+03:00,2024-06-05 00:00:00+03:00,27.129491395336956,26.008867117057402,1549,-1776.1347422193503,-0.04130649786055951,48,stop_loss
1304.SR,Yamamah Steel,2024-05-23 00:00:00+03:00,2024-06-06 00:00:00+03:00,34.22163345242109,32.775316031077935,884,-1307.51797983882,-0.04226324916237534,13,stop_loss
3020.SR,Yamama Cement,2024-05-23 00:00:00+03:00,2024-06-09 00:00:00+03:00,32.53706385164006,30.090122337040434,978,-2422.536940924063,-0.07520474268228383,14,stop_loss
4310.SR,Emaar EC,2024-05-21 00:00:00+03:00,2024-06-13 00:00:00+03:00,14.274260229110716,14.005980457305908,2348,-662.8069463114439,-0.018794653277910855,22,stop_loss
2010.SR,SABIC,2024-05-26 00:00:00+03:00,2024-06-23 00:00:00+03:00,71.9628043597906,68.66418076217647,424,-1427.7300180315517,-0.04583789677125538,18,stop_loss
1080.SR,Arab National Bank,2024-05-28 00:00:00+03:00,2024-06-23 00:00:00+03:00,18.368067617792352,18.294961395847174,1533,-140.11801406179146,-0.003980071473297708,16,stop_loss
7010.SR,STC,2024-04-18 00:00:00+03:00,2024-06-24 00:00:00+03:00,32.93145725430045,33.48045482342702,1263,651.0981153648694,0.016670916348679787,66,time_exit
2380.SR,Petro Rabigh,2024-05-15 00:00:00+03:00,2024-06-24 00:00:00+03:00,7.06705994272232,6.693299809455872,4961,-1887.429481489561,-0.052887641578779565,39,stop_loss
4300.SR,Dar Al Arkan,2024-06-06 00:00:00+03:00,2024-06-25 00:00:00+03:00,12.011999999999999,11.788200190544128,2343,-551.9827066015503,-0.018631352768553988,18,stop_loss
1140.SR,Bank Albilad,2024-05-28 00:00:00+03:00,2024-07-02 00:00:00+03:00,26.62389034336295,26.086123381842036,1005,-566.6723503272716,-0.020198661975595722,34,stop_loss
1211.SR,Maaden,2024-05-30 00:00:00+03:00,2024-07-02 00:00:00+03:00,46.796749999999996,42.10785152435303,617,-2919.0309038647033,-0.10019709650022635,32,stop_loss
1060.SR,Saudi Awwal Bank,2024-05-28 00:00:00+03:00,2024-07-08 00:00:00+03:00,34.800367672975575,33.81566283551161,852,-867.7794662551545,-0.02829581706484796,40,stop_loss
1320.SR,Saudi Steel Pipe,2024-06-25 00:00:00+03:00,2024-07-22 00:00:00+03:00,61.62314628073288,64.67301360095418,587,1752.3090579861405,0.04949223634780342,26,stop_loss
1180.SR,Al Rajhi Bank,2024-05-27 00:00:00+03:00,2024-07-29 00:00:00+03:00,30.657339322040013,34.506862645200734,1067,4070.6225633700597,0.1255661257072378,62,time_exit
1050.SR,Banque Saudi Fransi,2024-05-27 00:00:00+03:00,2024-07-29 00:00:00+03:00,14.773308239936828,16.37464607061827,2104,3334.762540421171,0.10839399034215846,62,time_exit
1010.SR,Riyad Bank,2024-05-28 00:00:00+03:00,2024-07-29 00:00:00+03:00,22.396199187770396,25.133978740858897,1393,3778.715285066265,0.12224304356890547,61,time_exit
2280.SR,Almarai,2024-05-30 00:00:00+03:00,2024-07-30 00:00:00+03:00,51.386387542724606,58.53992352235059,534,3788.727893959341,0.13921071944740748,60,time_exit
4310.SR,Emaar EC,2024-06-23 00:00:00+03:00,2024-08-01 00:00:00+03:00,13.7136998090744,13.786200190544129,2384,139.9746081695755,0.00528671200909292,38,stop_loss
2222.SR,Saudi Aramco,2024-06-05 00:00:00+03:00,2024-08-04 00:00:00+03:00,26.060936921095553,25.00148137027269,1078,-1169.0446807042017,-0.04065301082729944,57,stop_loss
1321.SR,East Pipes,2024-07-23 00:00:00+03:00,2024-08-05 00:00:00+03:00,148.2080054151993,132.06416846544988,260,-4231.734290735864,-0.1089268889661058,12,stop_loss
2380.SR,Petro Rabigh,2024-06-25 00:00:00+03:00,2024-08-06 00:00:00+03:00,6.636630114555358,6.973020019054413,5184,1707.697129144322,0.05068685442650933,41,stop_loss
4009.SR,ME Healthcare,2024-07-31 00:00:00+03:00,2024-08-06 00:00:00+03:00,79.68617047265373,75.86257377779886,519,-2023.8193604203557,-0.047983190460470615,5,stop_loss
4009.SR,ME Healthcare,2024-08-06 00:00:00+03:00,2024-08-07 00:00:00+03:00,76.01445080237903,69.02899915810224,378,-2666.59368321839,-0.09189636405369084,0,stop_loss
4009.SR,ME Healthcare,2024-08-07 00:00:00+03:00,2024-08-11 00:00:00+03:00,69.16719535261295,61.50216608726251,392,-3028.8003211235796,-0.11081885316115936,1,stop_loss
7020.SR,Mobily,2024-07-30 00:00:00+03:00,2024-09-01 00:00:00+03:00,47.72822451905128,47.632861209533516,912,-130.41250770329628,-0.0019980485442047113,30,stop_loss
1180.SR,Al Rajhi Bank,2024-08-06 00:00:00+03:00,2024-09-01 00:00:00+03:00,32.27088379223114,33.23296911621094,1412,1311.539525067387,0.029812797510411215,23,stop_loss
1150.SR,Alinma Bank,2024-08-06 00:00:00+03:00,2024-09-01 00:00:00+03:00,29.476644379497614,29.652722095835436,1469,215.09831654147854,0.005973465434901737,23,stop_loss
2280.SR,Almarai,2024-08-11 00:00:00+03:00,2024-09-01 00:00:00+03:00,56.397299849776665,53.53902457303125,479,-1394.7590503315366,-0.05068106601484279,18,stop_loss
4009.SR,ME Healthcare,2024-08-11 00:00:00+03:00,2024-09-01 00:00:00+03:00,61.625293546896664,73.2876025373533,416,4821.032897374419,0.1892454918950066,18,stop_loss
