ticker,name,sector,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days,exit_reason
7030.SR,Zain KSA,Telecom,2023-05-12 00:00:00+03:00,2023-06-02 00:00:00+03:00,12.693505830418964,12.313295420629647,1488,-565.7530897665038,-584.0752733524007,-0.029953144140697052,20,time_exit
1180.SR,Al Rajhi Bank,Banking,2023-05-17 00:00:00+03:00,2023-06-02 00:00:00+03:00,31.593336034450036,32.496315534480516,992,895.7556640302356,863.5193190200309,0.028581328006825668,15,stop_loss
7020.SR,Mobily,Telecom,2023-06-01 00:00:00+03:00,2023-06-09 00:00:00+03:00,38.670873497178775,41.394144514352355,842,2292.994196460155,2258.14032677907,0.0704217611575868,7,stop_loss
1211.SR,Maaden,Materials,2023-06-01 00:00:00+03:00,2023-06-09 00:00:00+03:00,41.57486615753174,43.956,754,1795.3749172210726,1762.2320932210725,0.05727339766881956,7,take_profit
2280.SR,Almarai,Food,2023-06-01 00:00:00+03:00,2023-06-09 00:00:00+03:00,52.99794847265275,55.87867581412161,561,1616.0880385640278,1584.7401014323057,0.05435545005964393,7,stop_loss
1010.SR,Riyad Bank,Banking,2023-06-02 00:00:00+03:00,2023-06-09 00:00:00+03:00,27.85911491488603,29.41841317800646,741,1155.4400129722376,1133.6409688073347,0.055970847167411186,6,stop_loss
1060.SR,Saudi Awwal Bank,Banking,2023-06-07 00:00:00+03:00,2023-06-09 00:00:00+03:00,32.142356955230845,32.644739771151684,777,390.3514479704921,364.98648516830724,0.01562993082991948,1,stop_loss
2082.SR,ACWA Power,Utilities,2023-05-29 00:00:00+03:00,2023-06-19 00:00:00+03:00,151.52294130113097,155.7785940543837,205,872.4088144168072,840.4742026356586,0.028085864204518085,20,time_exit
1120.SR,Al Jazira Bank,Banking,2023-05-29 00:00:00+03:00,2023-06-19 00:00:00+03:00,67.53202602386474,68.79926210604715,472,598.1354307900962,565.6621790760419,0.01876496466631372,20,time_exit
4002.SR,Mouwasat,Healthcare,2023-06-09 00:00:00+03:00,2023-06-19 00:00:00+03:00,116.04034430809551,127.52158172607422,199,2284.7662461777622,2259.3894514142735,0.0989417731086284,9,take_profit
7010.SR,STC,Telecom,2023-05-31 00:00:00+03:00,2023-06-21 00:00:00+03:00,35.141857020542965,36.40612277592892,861,1088.5328153873086,1057.1871436772337,0.035976065654325096,20,time_exit
4310.SR,Emaar Economic City,Real Estate,2023-06-01 00:00:00+03:00,2023-06-22 00:00:00+03:00,14.994979541778562,14.985,2232,-22.274337249752307,-55.72085724975231,-0.0006655255347803868,20,time_exit
2222.SR,Saudi Aramco,Energy,2023-06-01 00:00:00+03:00,2023-06-22 00:00:00+03:00,27.43689409046418,27.81397031893848,1314,495.4781642152321,458.93060721614694,0.013743400664485428,20,time_exit
1080.SR,Arab National Bank,Banking,2023-06-01 00:00:00+03:00,2023-06-22 00:00:00+03:00,16.64235348526511,17.322775830330976,1525,1037.6440762254426,1011.2268430841879,0.04088498334495183,20,time_exit
2310.SR,Sipchem,Energy,2023-06-09 00:00:00+03:00,2023-07-03 00:00:00+03:00,31.800272263284114,32.85483799825613,1068,1126.276204950113,1091.1872379679753,0.03316216057022858,23,time_exit
1140.SR,Bank Albilad,Banking,2023-06-09 00:00:00+03:00,2023-07-03 00:00:00+03:00,24.580431814671147,24.659087231035134,1275,100.28565586408256,68.84531964451276,0.0031999200403403094,23,time_exit
2070.SR,Saudi Pharma,Industrial,2023-06-23 00:00:00+03:00,2023-07-04 00:00:00+03:00,38.038,43.356601524353025,458,2435.9194981536866,2416.062174655533,0.13982337463465555,10,take_profit
1321.SR,East Pipes,Materials,2023-06-20 00:00:00+03:00,2023-07-05 00:00:00+03:00,56.89511588839106,64.68065208172649,382,2974.074825854135,2949.3668167589153,0.1368401500158294,14,take_profit
4009.SR,Middle East Healthcare,Healthcare,2023-07-12 00:00:00+03:00,2023-07-17 00:00:00+03:00,71.15190858024474,69.2270798057033,211,-406.1388714282436,-420.74578526724696,-0.027052384299300014,4,stop_loss
4250.SR,Jabal Omar,Real Estate,2023-07-10 00:00:00+03:00,2023-07-18 00:00:00+03:00,25.1751496181488,27.772199237823486,1386,3599.5107728691137,3561.0185047254904,0.10315925263866021,7,take_profit
4001.SR,Al Othaim Markets,Retail,2023-07-04 00:00:00+03:00,2023-07-20 00:00:00+03:00,12.263582496042876,12.538454806486664,2906,798.7789341496486,762.3421844819984,0.02241370419553035,15,stop_loss
2380.SR,Petro Rabigh,Energy,2023-07-14 00:00:00+03:00,2023-07-20 00:00:00+03:00,11.13111988544464,10.689299809455871,2884,-1274.2090991516095,-1305.0370398020802,-0.03969232930161004,5,stop_loss
2040.SR,Saudi Ceramic,Materials,2023-07-18 00:00:00+03:00,2023-07-21 00:00:00+03:00,25.563284759904793,24.097049930852695,986,-1445.7075414453689,-1469.4672326771897,-0.05735705887655884,2,stop_loss
3060.SR,Yanbu Cement,Materials,2023-07-13 00:00:00+03:00,2023-07-25 00:00:00+03:00,34.95835873751912,34.66770300694969,985,-286.295894610892,-320.4435820727374,-0.008314341435528783,11,stop_loss
1211.SR,Maaden,Materials,2023-07-06 00:00:00+03:00,2023-07-27 00:00:00+03:00,44.54449999999999,44.40555076217651,224,-31.12462927245997,-41.071472643187505,-0.0031193354471030776,20,time_exit
2222.SR,Saudi Aramco,Energy,2023-07-12 00:00:00+03:00,2023-08-02 00:00:00+03:00,27.869652036666867,27.900347788666505,1501,46.07432375145569,4.195901720667258,0.0011014042069579233,20,time_exit
4310.SR,Emaar Economic City,Real Estate,2023-07-27 00:00:00+03:00,2023-08-02 00:00:00+03:00,15.075060420036314,14.685299809455872,2317,-903.0753347148843,-937.1011743733936,-0.025854663246484222,5,stop_loss
