ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,net_pnl,pnl_pct,holding_days,exit_reason
2010.SR,Materials,2023-10-24 00:00:00+03:00,2023-11-09 00:00:00+03:00,69.33904213775979,70.74638250732421,486,649.5846777097502,0.020296507222704152,15,time_exit
4250.SR,Real Estate,2023-10-25 00:00:00+03:00,2023-11-09 00:00:00+03:00,20.440420076370238,19.99998045730591,1328,-611.4637881647302,-0.021547483731681694,14,stop_loss
4310.SR,Real Estate,2023-10-26 00:00:00+03:00,2023-11-13 00:00:00+03:00,12.952939579963683,12.20778026676178,2316,-1754.0621884734269,-0.05752820111618184,17,time_exit
1211.SR,Materials,2023-11-01 00:00:00+03:00,2023-11-16 00:00:00+03:00,36.035999999999994,39.760199237823485,645,2376.4631798877554,0.10334663219623419,14,take_profit
4250.SR,Real Estate,2023-11-09 00:00:00+03:00,2023-11-20 00:00:00+03:00,20.040020458221434,21.878099618911744,1405,2551.762490805314,0.09172042336594699,10,take_profit
7020.SR,Telecom,2023-12-01 00:00:00+03:00,2023-12-18 00:00:00+03:00,42.02759503947107,43.317326635089444,893,1113.0479422020699,0.030687732533995593,16,time_exit
4300.SR,Real Estate,2023-12-21 00:00:00+03:00,2023-12-28 00:00:00+03:00,14.214199809074401,13.626360342979432,2651,-1594.4859058870027,-0.04135579026542813,6,stop_loss
4310.SR,Real Estate,2023-12-22 00:00:00+03:00,2024-01-08 00:00:00+03:00,13.813800190925596,14.465519542694091,2619,1668.967786599373,0.04717886047002584,16,time_exit
4300.SR,Real Estate,2023-12-28 00:00:00+03:00,2024-01-15 00:00:00+03:00,13.653640343666074,13.666320304870606,2649,-2.6128652567985355,0.0009286872134737223,17,stop_loss
3020.SR,Materials,2024-01-05 00:00:00+03:00,2024-01-15 00:00:00+03:00,30.301254755840176,29.43744440460205,1146,-1023.661973806566,-0.028507411927277904,9,stop_loss
2082.SR,Utilities,2024-01-05 00:00:00+03:00,2024-01-22 00:00:00+03:00,244.67718011907135,246.97677502441405,114,233.99846685628472,0.009398485401146184,16,time_exit
1080.SR,Banking,2024-01-16 00:00:00+03:00,2024-02-01 00:00:00+03:00,16.333793888596333,16.5402954147477,2236,424.75331192708114,0.012642594094170567,15,stop_loss
2010.SR,Materials,2024-01-18 00:00:00+03:00,2024-02-05 00:00:00+03:00,71.16135714926611,71.56477571478214,492,163.27206458221605,0.0056690678997286525,17,time_exit
3020.SR,Materials,2024-01-26 00:00:00+03:00,2024-02-12 00:00:00+03:00,29.354339871290513,30.902227727748322,1185,1797.6279700451219,0.0527311417407037,16,time_exit
1320.SR,Industrial,2024-02-01 00:00:00+03:00,2024-02-12 00:00:00+03:00,31.436957597748755,34.23472682310578,667,1843.2775105221247,0.08899618280992239,10,take_profit
8210.SR,Insurance,2024-02-06 00:00:00+03:00,2024-02-15 00:00:00+03:00,201.32727910331135,217.4604831473288,164,2610.1819439826995,0.08013421785598496,8,take_profit
4280.SR,Holding,2024-02-01 00:00:00+03:00,2024-02-19 00:00:00+03:00,6.5541823341884236,6.550431735012094,5192,-53.48295249168369,-0.000572245168823704,17,time_exit
1180.SR,Banking,2024-02-07 00:00:00+03:00,2024-02-26 00:00:00+03:00,35.7199994289643,37.75881440071331,917,1834.96849628839,0.057077687691556855,18,time_exit
1050.SR,Banking,2024-02-20 00:00:00+03:00,2024-03-07 00:00:00+03:00,16.529357626265742,16.132127099990846,1702,-703.5432360440576,-0.024031818734666532,15,time_exit
1180.SR,Banking,2024-03-14 00:00:00+03:00,2024-04-01 00:00:00+03:00,35.85495637265741,36.00780850620281,1058,123.62129589146483,0.004263068457167618,17,time_exit
7010.SR,Telecom,2024-03-22 00:00:00+03:00,2024-04-15 00:00:00+03:00,34.30897868347168,34.11155080051101,1062,-245.89487865437155,-0.005754408628193208,23,time_exit
4190.SR,Retail,2024-03-25 00:00:00+03:00,2024-04-16 00:00:00+03:00,13.111338678519195,13.335404235574009,2668,562.2280477217329,0.01708944925829048,21,time_exit
3020.SR,Materials,2024-03-27 00:00:00+03:00,2024-04-16 00:00:00+03:00,33.26768644092779,33.395658865132006,1009,95.42795622713615,0.003846748538749445,19,time_exit
2222.SR,Energy,2024-04-04 00:00:00+03:00,2024-04-22 00:00:00+03:00,27.626038005857424,27.120336984463258,1222,-651.1076999386856,-0.018305231509742503,17,time_exit
4300.SR,Real Estate,2024-04-16 00:00:00+03:00,2024-05-02 00:00:00+03:00,13.893880114555357,13.146839847564697,2155,-1638.2032152363722,-0.05376757686343159,15,time_exit
7010.SR,Telecom,2024-04-17 00:00:00+03:00,2024-05-03 00:00:00+03:00,33.23279427342785,33.083922272831444,1065,-193.78305785573735,-0.004479671476660618,15,time_exit
1321.SR,Industrial,2024-04-19 00:00:00+03:00,2024-05-06 00:00:00+03:00,130.43816896968264,138.29006223175386,118,910.205177581058,0.0601962855205076,16,time_exit
4190.SR,Retail,2024-04-24 00:00:00+03:00,2024-05-10 00:00:00+03:00,12.448607457033807,12.030466007036013,2788,-1199.3193018214663,-0.03358941563873741,15,time_exit
1050.SR,Banking,2024-04-26 00:00:00+03:00,2024-05-13 00:00:00+03:00,15.498955342292785,15.639379031181335,2150,268.2862661933425,0.00906020346451153,16,time_exit
1140.SR,Banking,2024-04-30 00:00:00+03:00,2024-05-13 00:00:00+03:00,28.849291067427764,28.18593350382523,1108,-766.230194793847,-0.022993894791109692,12,stop_loss
4300.SR,Real Estate,2024-05-06 00:00:00+03:00,2024-05-22 00:00:00+03:00,13.113100381851195,12.70728026676178,2585,-1081.8933169957186,-0.030947686151406195,15,time_exit
2050.SR,Food,2024-05-15 00:00:00+03:00,2024-05-27 00:00:00+03:00,28.70188526344299,27.610328189849852,1099,-1229.9649745595023,-0.03803084931788192,11,stop_loss
1180.SR,Banking,2024-05-21 00:00:00+03:00,2024-05-27 00:00:00+03:00,31.487162775358694,30.596085896821158,1029,-948.4014804029536,-0.028299687872636037,5,stop_loss
1010.SR,Banking,2024-05-21 00:00:00+03:00,2024-05-28 00:00:00+03:00,23.49315618080828,22.351451537045584,1436,-1671.5845528504306,-0.04859732915304771,6,stop_loss
7030.SR,Telecom,2024-05-13 00:00:00+03:00,2024-05-29 00:00:00+03:00,10.983537745429034,10.53857662590076,3321,-1512.7144909280162,-0.040511639313430825,15,stop_loss
4100.SR,Real Estate,2024-05-22 00:00:00+03:00,2024-06-04 00:00:00+03:00,73.61733820609632,78.05286320352283,203,884.5668432472669,0.060251091733430906,12,take_profit
4310.SR,Real Estate,2024-05-21 00:00:00+03:00,2024-06-06 00:00:00+03:00,14.274260229110716,14.365620114326477,1532,117.95521413539751,0.006400323641952532,15,time_exit
1304.SR,Industrial,2024-05-23 00:00:00+03:00,2024-06-06 00:00:00+03:00,34.22163345242109,32.775316031077935,508,-751.3791105861092,-0.04226324916237534,13,stop_loss
3020.SR,Materials,2024-05-23 00:00:00+03:00,2024-06-07 00:00:00+03:00,32.53706385164006,30.090122337040434,929,-2301.162390714166,-0.07520474268228383,14,stop_loss
2010.SR,Materials,2024-05-24 00:00:00+03:00,2024-06-07 00:00:00+03:00,71.9628043597906,69.40650265042238,273,-716.8183418810876,-0.03552254157005241,13,stop_loss
1180.SR,Banking,2024-05-27 00:00:00+03:00,2024-06-10 00:00:00+03:00,30.657339322040013,33.63268590535572,935,2750.5024940786802,0.09705168971322586,13,take_profit
2280.SR,Food,2024-05-30 00:00:00+03:00,2024-06-11 00:00:00+03:00,51.386387542724606,55.598220902481394,537,2231.898269564763,0.08196399009864064,11,take_profit
1303.SR,Industrial,2024-06-05 00:00:00+03:00,2024-06-12 00:00:00+03:00,5.079854536375043,5.696297830332881,3443,2102.801907667,0.12135057993170983,6,take_profit
1010.SR,Banking,2024-05-28 00:00:00+03:00,2024-06-13 00:00:00+03:00,22.396199187770396,22.661636422716853,1332,323.3770972336223,0.011851887577933429,15,stop_loss
1060.SR,Banking,2024-05-28 00:00:00+03:00,2024-06-13 00:00:00+03:00,34.80037155282934,35.966320537125156,852,962.7452295224051,0.03350392344305364,15,time_exit
1080.SR,Banking,2024-05-28 00:00:00+03:00,2024-06-13 00:00:00+03:00,18.36806956969148,18.29496130021477,1550,-141.6750077042372,-0.003980182522683062,15,stop_loss
